Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
The billionaire of Dismal Downs,Dreamtime duck of the Never-Never ; King of the Klondike ; Life and times of Scrooge McDuck ; Raider of the Copper Hill ; Scrooge McDuck ; The buckaroo of the badlands ; The empire-builder from Calisota ; The invader of Fort Duckberg ; The last of the clan McDuck ; The master of the Mississippi ; The new Laird of Castle McDuck ; The richest duck in the world ; The terror of the Transvaal ; Walt Disney's the life and times of Scrooge McDuck,9780911903966 ; 9781415611432,"Rosa, Don, 1951- [person]",,,United States of America,"West Plains, Missouri",Gemstone Pub,2005,Children's fiction ; Comic or graphic novel ; Fiction ; Humour or satire
The bind,,9780224097024,"Goldsmith, William (William B.), artist ; author [person]",,,England,London,Jonathan Cape,2015,Comic or graphic novel ; Fiction ; Novel
The birth of Ultron,Avengers (Comic strip) ; Avengers : the birth of Ultron,9781909766037,"Lee, Stan, 1922-2018, editor [person] ; Roth, Werner, 1921-1973, artist [person] ; Thomas, Roy, 1940-, author [person] ; Heck, Don, artist [person] ; Buscema, John, artist [person]",The ultimate Marvel graphic novel collection,,England,London,Hachette,2012,Comic or graphic novel
The birthday riots,,9781561632992,"Kanan, Nabiel [person]",,,England ; United States of America,London ; New York,Turnaround,2001,Comic or graphic novel ; Fiction ; Novel
The bitter march,,9780785154730,"Remender, Rick, author [person] ; Boschi, Roland, artist [person]",Winter Soldier,,United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction ; Suspense
The black Incal,Incal noir. English,9781594650291,"Chaland, Yves [person] ; Kelly, Justin, translator [person] ; Moebius, 1938-2012, artist [person] ; Jodorowsky, Alejandro, author [person]",,,United States of America,"Los Angeles, California",Humanoids,2012,Comic or graphic novel ; Novel
The black cat strikes,,9781302919252,"Hopeless, Dennis, author [person] ; Maresca, Luca, artist [person]",Marvel's Spider-man,,United States of America,New York,Marvel Worldwide,2020,Comic or graphic novel ; Fiction ; Science fiction
The black dahlia,Black dahlia,9781608868681,"Matz, author [person] ; Hyman, Miles, artist [person] ; Fincher, David, author [person] ; Ellroy, James, 1948- [person]",,,United States of America,"Los Angeles, California",Archaia,2016,Comic or graphic novel ; Detective and mystery ; Fiction
The black dossier,,9781401284169,"O'Neill, Kevin (Kevin Matthew), artist [person] ; Moore, Alan, 1953-, author [person]",The league of extraordinary gentlemen,,United States of America,"Burbank, California",DC Comics,2018,Comic or graphic novel ; Fiction ; Science fiction
The black feather falls,,,"Lindner, Ellen, 1978-, artist [person]",,,England,London,Penguin ; Soaring,2013-2015,Comic or graphic novel
The black galaxy,,9781302918507,,Thor epic collection,,United States of America,New York,Marvel Worldwide,2019,Comic or graphic novel ; Fiction ; Science fiction
The black glove saga,,9781401291204,"Gleason, Patrick, author [person] ; Tomasi, Peter, author [person]",Batman,,United States of America,"Burbank, California",DC Comics,2019,Comic or graphic novel ; Fiction ; Science fiction
The black glove,,9781845769611,"Williams, J. H., iii [person] ; Morrison, Grant [person] ; Daniel, Tony [person]",Batman,,England,London,Titan,2008,Comic or graphic novel ; Fiction ; Science fiction
The black gold war,Guerre noire. English,9781849182362,"Desberg, Stephen, author [person] ; Bence, Mark, translator [person] ; Vrancken, Bernard, artist [person]",IR$ ; IRS,6 [IR$] ; 6 [IRS],England,"Canterbury, Kent",Cinebook,2015,Comic or graphic novel ; Detective and mystery ; Fiction
The black hills,,9781905460830,"Morris, 1923-2001 [person] ; Goscinny, 1926-1977 [person]",Lucky Luke adventure,volume 16 [Lucky Luke adventure],England,Canterbury,Cinebook,2009,Children's fiction ; Comic or graphic novel ; Western
The black hole,,,Walt Disney Productions [organisation],,,England,London,IPC Magazines,1980,Comic or graphic novel
The black mirror,,9781401232078,"Snyder, Scott [person] ; Francavilla, Francesco [person] ; Jock, 1972- [person]",Batman,,England ; United States of America,London ; New York,DC Comics ; Turnaround,2012,Comic or graphic novel ; Fiction ; Science fiction
The black pearl,,9781840238426,"O'Donnell, Peter, 1920-2010 [person] ; Holdaway, Jim [person]",,,England,London,Titan,2004,Comic or graphic novel ; Fiction
The black sable,,9781942275732,"Franchini, Dave, editor [person] ; Brusha, Joe, author [person] ; Ariño, Sergio, artist [person]",,,United States of America,"Horsham, Pennsylvania",Zenescope,2018,Comic or graphic novel ; Science fiction
The black tower,,9781606907924,"Tieri, Frank, author [person] ; Razek, Cezar, artist [person] ; Rybandt, Joseph, editor [person]",Red Sonja,,United States of America,"Montana Laurel, New Jersey",Dynamite Entertainment,2015,Comic or graphic novel ; Fantasy ; Fiction
The black vortex,,9781846536786,"Anka, Kris, illustrator [person] ; Humphries, Sam, author [person] ; Lanham, Travis [person] ; Kubert, Katie, editor [person] ; Farmer, Mark [person] ; Gracia, Martegod [person]",Guardians of the Galaxy & X-men,,England,"Tunbridge Wells, Kent",Panini,2015,Comic or graphic novel ; Fiction ; Science fiction
The blade of Kumori,,9781926914442,"Marz, Ron [person] ; Grafiksismik (Firm) [organisation] ; Reeves, Jason [person] ; Poulton, Mark [person]",,,Canada,"Burnaby, British Columbia",Arcana Comics,2011,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
The blind banker,,9781785856167,"Gatiss, Mark, author [person] ; Jay, artist ; illustrator [person]",Sherlock,,England,London,Titan,2017,Comic or graphic novel ; Detective and mystery ; Fiction
The blood of Carthage,,9781840232813,"Golden, Christopher [person] ; Richards, Cliff [person]","Buffy, the vampire slayer",,England,London,Titan,2001,Comic or graphic novel ; Fiction ; Horror
The blood of heroes,,9781401269241,"Takara, Marcio, artist [person] ; Tomasi, Peter, author [person]",Batman detective comics,8 [Batman detective comics],United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel ; Fiction ; Science fiction
The blood of the serpent,,9781616553715,"Docherty, Mike, 1955-, artist [person] ; Kraar, Don, author [person]",The chronicles of King Conan,volume 9 [The chronicles of King Conan],United States of America,Milwaukie,Dark Horse,2014,Comic or graphic novel ; Fantasy ; Fiction
The bloodstone hunt,,9781302910020,"Bright, M. D. (Mark D.), artist [person] ; Milgrom, Al, artist [person] ; Bagley, Mark, artist [person] ; Dwyer, Kieron, author [person] ; Lim, Ronald, artist [person] ; Gruenwald, Mark, author [person] ; Buckler, Rich, artist [person]",,,United States of America,New York,Marvel Worldwide,2018,Comic or graphic novel ; Fiction
The bloody benders,,9781561634989,"Geary, Rick [person]",A treasury of Victorian murder,,England ; United States of America,London ; New York,Turnaround,2007,Comic or graphic novel ; Fiction ; Suspense
The bloody streets of Paris,,9780743474481,"Tardi, Jacques [person]",,,England ; United States of America,London ; New York,Ibooks ; Simon & Schuster,2003,Comic or graphic novel ; Fiction ; Novel
The bloody truth,Nailbiter. The bloody truth. 6,9781534301559,"Levin, Rob, 1984-, editor [person] ; Hill, John J., letterer [person] ; Guzowski, Adam [person] ; Henderson, Mike, 1981-, artist ; creator [person] ; Williamson, Joshua, author ; creator [person]",Nailbiter,,United States of America,"Portland, Oregon",Image Comics,2017,Comic or graphic novel ; Detective and mystery ; Horror ; Novel
The blue dragon,Dragon bleu. English,9781770890374,"Jourdain, Fred, 1984- [person] ; Lepage, Robert, 1957- [person] ; Michaud, Marie, 1957- [person]",,,Canada,"Berkeley, California ; Toronto, Ontario",House of Anansi Press,2011,Comic or graphic novel
The blue lotus,,9781405240703,"Hergé, 1907-1983 [person]",The adventures of Tintin,,England,London,Egmont,2008,Children's fiction ; Comic or graphic novel ; Novel
The blue notebook,,9781561631919,"Juillard, André [person]",,,England ; United States of America,London ; New York,Turnaround,2002,Comic or graphic novel ; Fiction
The blue plague,Mal bleu. English,9781849182904,"Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person] ; Spear, Luke [person]",Thorgal,17 [Thorgal],England,"Canterbury, Kent",Cinebook,2016,Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction
The blue river score,,9781846538445,"Ewing, Al, author [person] ; Gorham, Adam, artist [person] ; Alonso, Axel, editor [person] ; White, Jordan D., editor [person]",Rocket,,England,"Tunbridge Wells, Kent",Panini Publishing,2017,Comic or graphic novel
The blues in black and white,Bleus en noir et blanc. English,9781849183413,"Lambil, Willy, 1936-, artist [person] ; Cauvin, Raoul, 1938-, author [person]",The bluecoats,number 10 [The bluecoats],England,"Canterbury, Kent",Cinebook,2017,Children's fiction ; Comic or graphic novel
The blues in the mud,Bleus dans la gadoue. English,9781849181839,"Lambil, Willy, 1936-, artist [person] ; Cauvin, Raoul, 1938-, author [person]",The bluecoats,number 7 [The bluecoats],England,Canterbury,Cinebook,2014,Children's fiction ; Comic or graphic novel
The body,,9781524107567,"Casalanguida, Luca, artist [person] ; Kot, Ales, 1986-, author [person]",Ian Fleming's James Bond 007,,United States of America,Montana Laurel,Dynamite Entertainment,2018,Comic or graphic novel ; Fiction ; Novel ; Spy story
The bogie man,,,"Smith, Robin [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",,,Scotland,Glasgow,Fat Man Press,1989-,Comic or graphic novel
The bonds of friendship,Liens de l'amitié. English,9781849180702,"Dubuc, Maryse, 1977- [person] ; Delafontaine, Marc, 1973- [person]",The bellybuttons,volume 3 [The bellybuttons],England,Canterbury,Cinebook,2011,Comic or graphic novel ; Fiction ; Novel
The book bandit : a mystery with geometry,,9780761370123,"Thielbar, Melinda [person]",Manga maths mysteries,,England,London,Lerner,2011,Children's fiction ; Comic or graphic novel ; Detective and mystery
The book of Thoth and other stories,,9781302922825,"Busiek, Kurt, author [person] ; Wein, Len, author [person] ; Moore, Stuart, author [person]",Conan,,United States of America,New York,Marvel Worldwide,2020,Comic or graphic novel ; Fantasy ; Fiction
The book of ballads,,9780765312143,"Vess, Charles [person]",,,United States of America,New York,,2004,Comic or graphic novel ; Fiction
The book of boy trouble,,9781931160650,"Kirby, Robert, 1962- [person] ; Kelly, David, 1965- [person]",,,England ; United States of America,"London ; San Francisco, California",Green Candy ; Turnaround,2009,Comic or graphic novel ; Fiction
The book of changes,,9781302904500,"Kavanagh, Terry, author [person] ; Cavalieri, Joey, author [person] ; Matias, Antonio, author [person]",Iron Fist,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
The book of human insects,,9781935654209,"Tezuka, Osamu, 1928-1989 [person]",,,England ; United States of America,London ; New York,Turnaround ; Vertical,2011,Comic or graphic novel ; Fiction ; Novel
The book of lost souls : Introductions all around,Introductions all around,9780785119401,"Straczynski, J. Michael, 1954-, author [person] ; Alonso, Axel, editor [person] ; O'Connor, Michael, editor [person] ; Sharpe, Dave, letterer [person] ; Sedlmeier, Cory, editor [person] ; Doran, Colleen, 1963-, artist [person]",,,United States of America,New York,Marvel Publishing,2006,Comic or graphic novel ; Fantasy ; Young adult fiction
The book of the dead,,9781682152775,"Lemire, Jeff, artist ; author [person] ; Simons, Warren, editor [person] ; Fawkes, Ray, author [person] ; Guedes, Renato, artist [person]",Bloodshot salvation,volume 2 [Bloodshot salvation],United States of America,New York,Valiant Entertainment,2018,Comic or graphic novel ; Fiction ; Science fiction
The books of magic,,9781563890826 ; 9781852864705,"Gaiman, Neil [person] ; Bolton, John, 1951- [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,1993,Comic or graphic novel
The boon under the bay,"Boon under the bay! ; Eruption disruption ; Of demise and men ; Rich rescue pin-up ; Richie Rich in the boon under the bay! ; Richie Rich introduction ; Richie Rich, detective! ; Welcome to Rich Rescue",9781936340583,"Herman, Lenny (Leonard), 1930-1983 [person] ; Jacobson, Sidney [person] ; Erwin, Brent [person] ; Francisco, Tina [person] ; Williams, Bill, 1964- [person] ; Sparrow, Aaron [person] ; Burns, Jason M., 1978- [person]",Richie Rich: Rich rescue digest,volume 1 [Richie Rich: Rich rescue digest],United States of America,"San Diego, California",Ape Entertainment,2012,Comic or graphic novel ; Fiction
The bootiful game,,9781840239430 ; 9781840239485,"Rimmer, Ian, 1955- [person]",Wallace & Gromit,,England,London,Titan,2005,Children's fiction ; Comic or graphic novel ; Novel
The bounty hunter,Chasseur de primes. English,9781849180597,"Morris, 1923-2001 [person] ; Goscinny, 1926-1977 [person]",A Lucky Luke Adventure,26 [A Lucky Luke Adventure],England,Canterbury,Cinebook,2010,Children's fiction ; Comic or graphic novel ; Novel ; Western
The boxer : the true story of holocaust survivor Harry Haft,Boxer,9781906838775,"Kleist, Reinhard, 1970-, author ; illustrator [person]",,,England,London,SelfMadeHero,2014,Comic or graphic novel ; Novel
The boy of steel,,9781848567795,"Johns, Geoff, 1973- [person] ; Manapul, Francis [person]",Superboy,,England,London,Titan,2010,Comic or graphic novel
The boy who drew cats,"Alice in Wonderland; or, A.L.I.C.E ; Beauty and the beast ; Chang'e ; Cinderella ; Dr. Frankenstein's lab ; Goldilocks & the Three Bears; or, Silver-Hair & the Three Xairs ; Hansel and Gretel; or, Bombus and Vespula ; Humpty Dumpty ; Jack and the Beanstalk ; John Henry ; Kid Yimage and the really big hole ; Momotaro; or, The peach-pit boy ; Once upon a time machine ; One thousand and one nights; or, 1001 ; Peter Pan and Captain Hook ; Peter and the wolf ; Pinocchio ; Pinocchio; or, The stars are not wanted now ; Pygmalion ; Rapunzel ; Red Riding Hood ; Rikki-Tikki-Tavi ; Rip Van Winkle ; Santa Claus ; Snow White and the Seven Dwarves ; Sweet porridge; or, Sweet science ; The billy goats gruff; or, The crossing ; The boy who cried wolf; or, The Venusian shepherd boy who cried space wolf ; The five Chinese brothers ; The frog prince ; The genie in the lamp ; The gingerbread man ; The gold piece; or, A destiny earned ; The headless horseman ; The hunchback of Notre-Dame ; The last leaf ; The lion and the mouse; or, Caged ; The little mermaid ; The puppet show man; or, No strings ; The shepherd and the weaver girl ; The three little pigs ; The three musketeers ; The tortoise and the hare; or, The Tea Garden Park Soapbox Grand Prix ; The ugly duckling; or, The ugly part ; Three little pigs ; Tinkerbell and friends ; Unicorns ; Vasilissa the beautiful",9781616550400,"Carl, Andrew [person] ; Alexander, Tara [person] ; Stevens, Chris, artist [person] ; Evergreen, Nelson, 1971- [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2012,Adaptation ; Comic or graphic novel ; Novel
The boys are back in town,,9780952813576,,,,England,,,1999,Comic or graphic novel ; Fiction ; Novel
